promotion_id,restaurant_id,promotion_name,discount_percentage,valid_from,valid_until,min_order_value,max_discount,terms_conditions,is_active
PROMO00197,Chili's_80679,Holiday Discount,31.45,2024-11-17,2029-08-31,13.25,20.09,Offer valid on select items only. Terms and conditions apply.,False
PROMO00198,Panera_98858,Special Deal,38.86,2023-02-27,2027-06-17,14.99,50.13,Offer valid on select items only. Terms and conditions apply.,True
PROMO00199,Texas_37437,Special Deal,19.19,2023-09-25,2026-05-19,55.79,31.82,Offer valid on select items only. Terms and conditions apply.,False
PROMO00200,Chili's_11529,Special Deal,15.28,2021-04-18,2025-06-22,65.92,50.78,Offer valid on select items only. Terms and conditions apply.,True
PROMO00201,Olive_36811,Weekend Offer,34.85,2020-01-16,2029-12-02,65.54,33.03,Offer valid on select items only. Terms and conditions apply.,True
PROMO00202,Chili's_83059,Special Deal,25.69,2022-07-17,2027-11-29,37.71,85.79,Offer valid on select items only. Terms and conditions apply.,False
PROMO00203,P.F._64323,Special Deal,12.49,2024-07-05,2025-02-19,63.41,7.5,Offer valid on select items only. Terms and conditions apply.,False
PROMO00204,Chili's_94199,Limited Time Offer,34.91,2020-01-06,2028-12-14,15.65,10.99,Offer valid on select items only. Terms and conditions apply.,False
PROMO00205,The_94810,Weekend Offer,26.65,2021-08-18,2026-02-25,23.72,86.24,Offer valid on select items only. Terms and conditions apply.,False
PROMO00206,Panera_92478,Limited Time Offer,45.8,2020-05-25,2027-06-01,59.98,50.48,Offer valid on select items only. Terms and conditions apply.,False
PROMO00207,Panera_77028,Special Deal,37.88,2024-01-07,2029-10-10,73.62,84.11,Offer valid on select items only. Terms and conditions apply.,True
PROMO00208,P.F._94363,Weekend Offer,24.59,2023-01-05,2028-07-31,19.35,70.9,Offer valid on select items only. Terms and conditions apply.,False
PROMO00209,Texas_75577,Weekend Offer,9.09,2021-10-29,2027-02-28,19.92,59.07,Offer valid on select items only. Terms and conditions apply.,False
PROMO00210,Buffalo_55004,Weekend Offer,25.13,2023-04-10,2029-12-13,63.61,19.71,Offer valid on select items only. Terms and conditions apply.,True
PROMO00211,Buffalo_82374,Festive Sale,37.65,2020-02-06,2029-03-10,90.11,35.67,Offer valid on select items only. Terms and conditions apply.,True
PROMO00212,Red_25166,Limited Time Offer,19.88,2022-04-15,2025-11-14,55.11,83.25,Offer valid on select items only. Terms and conditions apply.,True
PROMO00213,Outback_93105,Limited Time Offer,6.45,2022-07-22,2027-12-29,96.48,26.63,Offer valid on select items only. Terms and conditions apply.,False
PROMO00214,Chipotle_65802,Weekend Offer,19.02,2024-09-13,2025-09-04,73.68,47.96,Offer valid on select items only. Terms and conditions apply.,True
PROMO00215,Texas_65407,Festive Sale,32.15,2023-09-22,2029-03-02,77.91,50.47,Offer valid on select items only. Terms and conditions apply.,False
PROMO00216,Outback_35145,Limited Time Offer,23.57,2020-10-03,2029-03-21,84.68,60.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00217,Outback_96805,Holiday Discount,41.33,2023-10-21,2027-11-03,13.08,96.85,Offer valid on select items only. Terms and conditions apply.,True
PROMO00218,Texas_93647,Weekend Offer,28.97,2024-01-23,2029-11-02,85.35,5.21,Offer valid on select items only. Terms and conditions apply.,True
PROMO00219,Olive_60511,Holiday Discount,17.39,2023-01-26,2026-02-21,84.7,86.52,Offer valid on select items only. Terms and conditions apply.,True
PROMO00220,Panera_7758,Holiday Discount,25.25,2021-03-03,2025-12-04,86.33,79.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00221,Red_9666,Weekend Offer,47.68,2021-06-07,2028-12-28,63.54,31.99,Offer valid on select items only. Terms and conditions apply.,False
PROMO00222,Texas_6187,Special Deal,28.98,2024-12-28,2025-04-10,30.22,46.64,Offer valid on select items only. Terms and conditions apply.,False
PROMO00223,Chili's_13549,Holiday Discount,45.56,2020-07-02,2027-07-02,36.49,51.63,Offer valid on select items only. Terms and conditions apply.,False
PROMO00224,Chipotle_67222,Holiday Discount,5.0,2020-10-24,2026-11-11,44.2,93.28,Offer valid on select items only. Terms and conditions apply.,True
PROMO00225,Chipotle_44762,Limited Time Offer,25.91,2021-09-10,2025-08-08,66.36,18.66,Offer valid on select items only. Terms and conditions apply.,True
PROMO00226,Chili's_77009,Limited Time Offer,6.37,2021-11-01,2029-10-23,92.42,81.97,Offer valid on select items only. Terms and conditions apply.,True
PROMO00227,Panera_5828,Special Deal,25.77,2022-03-08,2029-05-07,14.49,94.64,Offer valid on select items only. Terms and conditions apply.,False
PROMO00228,Red_85436,Festive Sale,16.94,2021-03-29,2025-02-28,55.38,99.94,Offer valid on select items only. Terms and conditions apply.,False
PROMO00229,Red_37066,Weekend Offer,14.17,2023-01-25,2027-06-10,35.22,9.59,Offer valid on select items only. Terms and conditions apply.,True
PROMO00230,Olive_45551,Holiday Discount,20.21,2020-07-11,2028-04-19,84.02,69.05,Offer valid on select items only. Terms and conditions apply.,True
PROMO00231,Chili's_10219,Holiday Discount,11.99,2021-06-16,2029-09-26,51.17,96.86,Offer valid on select items only. Terms and conditions apply.,True
PROMO00232,Chipotle_62532,Limited Time Offer,9.67,2022-05-12,2026-10-18,34.89,56.5,Offer valid on select items only. Terms and conditions apply.,False
PROMO00233,Panera_83248,Holiday Discount,39.77,2023-10-27,2025-08-23,66.81,45.0,Offer valid on select items only. Terms and conditions apply.,True
PROMO00234,Texas_41307,Special Deal,25.51,2021-11-10,2025-08-31,14.8,47.44,Offer valid on select items only. Terms and conditions apply.,False
PROMO00235,The_29210,Special Deal,12.58,2020-04-27,2028-10-05,11.65,66.14,Offer valid on select items only. Terms and conditions apply.,True
PROMO00236,Chili's_68159,Limited Time Offer,44.14,2021-02-13,2026-12-22,88.31,34.09,Offer valid on select items only. Terms and conditions apply.,True
PROMO00237,P.F._93393,Holiday Discount,5.84,2020-01-06,2027-10-14,42.23,98.98,Offer valid on select items only. Terms and conditions apply.,True
PROMO00238,Outback_77945,Festive Sale,10.2,2023-10-07,2028-04-05,41.82,46.87,Offer valid on select items only. Terms and conditions apply.,True
PROMO00239,P.F._34403,Festive Sale,45.24,2024-08-24,2027-08-08,98.81,71.21,Offer valid on select items only. Terms and conditions apply.,True
PROMO00240,Buffalo_27384,Festive Sale,43.43,2023-07-26,2026-07-17,20.93,34.59,Offer valid on select items only. Terms and conditions apply.,True
PROMO00241,Olive_10211,Special Deal,30.21,2024-03-05,2027-12-07,30.11,22.27,Offer valid on select items only. Terms and conditions apply.,False
PROMO00242,Chipotle_83592,Limited Time Offer,14.15,2020-12-08,2028-09-21,55.73,74.07,Offer valid on select items only. Terms and conditions apply.,False
PROMO00243,Chipotle_33582,Special Deal,48.46,2024-11-25,2028-12-20,47.86,25.77,Offer valid on select items only. Terms and conditions apply.,False
PROMO00244,Chipotle_21352,Limited Time Offer,15.95,2024-08-06,2029-11-21,12.65,81.2,Offer valid on select items only. Terms and conditions apply.,False
PROMO00245,Outback_71385,Special Deal,43.4,2021-02-25,2026-09-15,29.07,98.77,Offer valid on select items only. Terms and conditions apply.,False
PROMO00246,Texas_44957,Holiday Discount,10.16,2020-07-21,2028-05-02,89.93,85.07,Offer valid on select items only. Terms and conditions apply.,True
PROMO00247,Red_44576,Weekend Offer,28.68,2021-12-24,2029-01-05,44.66,72.73,Offer valid on select items only. Terms and conditions apply.,False
PROMO00248,Outback_20185,Special Deal,40.81,2020-10-29,2026-07-09,16.22,68.02,Offer valid on select items only. Terms and conditions apply.,False
PROMO00249,Olive_29821,Limited Time Offer,10.56,2022-05-28,2026-11-08,32.63,77.94,Offer valid on select items only. Terms and conditions apply.,False
PROMO00250,Texas_11437,Holiday Discount,7.68,2022-01-13,2027-12-26,30.76,41.59,Offer valid on select items only. Terms and conditions apply.,False
PROMO00251,Outback_12335,Special Deal,36.95,2023-10-23,2026-12-22,41.03,81.57,Offer valid on select items only. Terms and conditions apply.,False
PROMO00252,Olive_50541,Holiday Discount,35.99,2023-11-13,2026-11-09,64.8,84.58,Offer valid on select items only. Terms and conditions apply.,False
PROMO00253,P.F._19633,Festive Sale,39.47,2020-12-31,2025-08-31,90.21,77.38,Offer valid on select items only. Terms and conditions apply.,False
PROMO00254,Buffalo_92304,Weekend Offer,18.5,2024-02-23,2029-08-21,35.71,40.64,Offer valid on select items only. Terms and conditions apply.,False
PROMO00255,The_37210,Limited Time Offer,12.7,2020-08-22,2027-12-30,98.58,77.5,Offer valid on select items only. Terms and conditions apply.,True
PROMO00256,Olive_31911,Weekend Offer,41.32,2020-10-24,2027-03-12,52.81,21.73,Offer valid on select items only. Terms and conditions apply.,False
PROMO00257,P.F._32383,Special Deal,27.12,2022-10-17,2029-12-12,51.62,23.43,Offer valid on select items only. Terms and conditions apply.,False
PROMO00258,P.F._28453,Weekend Offer,48.6,2020-08-14,2025-12-28,60.24,20.35,Offer valid on select items only. Terms and conditions apply.,False
PROMO00259,Texas_29607,Festive Sale,31.18,2022-05-31,2027-04-28,50.02,73.61,Offer valid on select items only. Terms and conditions apply.,True
PROMO00260,Panera_76708,Limited Time Offer,8.35,2023-12-14,2026-09-30,33.31,8.64,Offer valid on select items only. Terms and conditions apply.,False
PROMO00261,Texas_8447,Weekend Offer,46.12,2020-12-09,2025-03-10,62.59,33.91,Offer valid on select items only. Terms and conditions apply.,True
PROMO00262,The_49610,Limited Time Offer,28.7,2023-09-05,2028-06-18,21.19,90.03,Offer valid on select items only. Terms and conditions apply.,False
PROMO00263,Panera_28628,Holiday Discount,16.36,2021-08-08,2027-09-09,17.02,83.93,Offer valid on select items only. Terms and conditions apply.,True
PROMO00264,Panera_58298,Festive Sale,45.45,2023-09-11,2027-01-25,24.09,97.27,Offer valid on select items only. Terms and conditions apply.,True
PROMO00265,Texas_24997,Festive Sale,21.72,2020-02-01,2028-01-28,34.52,83.43,Offer valid on select items only. Terms and conditions apply.,True
PROMO00266,Chipotle_29342,Holiday Discount,16.09,2024-12-10,2029-11-18,16.0,65.64,Offer valid on select items only. Terms and conditions apply.,True
PROMO00267,Texas_94337,Weekend Offer,5.99,2023-11-26,2026-06-23,40.09,80.62,Offer valid on select items only. Terms and conditions apply.,True
PROMO00268,Red_86156,Limited Time Offer,11.81,2020-01-17,2025-08-28,15.95,79.22,Offer valid on select items only. Terms and conditions apply.,True
PROMO00269,Chili's_88109,Limited Time Offer,13.44,2023-03-31,2025-11-08,77.76,88.07,Offer valid on select items only. Terms and conditions apply.,True
PROMO00270,Olive_641,Holiday Discount,6.65,2020-09-20,2027-02-14,81.81,53.37,Offer valid on select items only. Terms and conditions apply.,True
PROMO00271,The_33710,Limited Time Offer,13.98,2021-03-29,2029-02-12,67.57,11.11,Offer valid on select items only. Terms and conditions apply.,False
PROMO00272,The_65070,Limited Time Offer,19.88,2024-05-10,2027-07-03,79.21,62.23,Offer valid on select items only. Terms and conditions apply.,True
PROMO00273,P.F._27093,Festive Sale,11.03,2021-07-03,2028-06-02,91.38,61.95,Offer valid on select items only. Terms and conditions apply.,True
PROMO00274,Panera_20138,Festive Sale,30.77,2021-01-12,2027-12-23,11.52,73.81,Offer valid on select items only. Terms and conditions apply.,False
PROMO00275,Texas_63727,Festive Sale,19.04,2020-11-13,2027-04-25,73.8,90.53,Offer valid on select items only. Terms and conditions apply.,True
PROMO00276,Red_34876,Limited Time Offer,44.32,2023-01-01,2029-10-18,34.95,79.15,Offer valid on select items only. Terms and conditions apply.,False
PROMO00277,Red_69116,Limited Time Offer,39.69,2022-01-27,2026-04-01,19.34,78.56,Offer valid on select items only. Terms and conditions apply.,False
PROMO00278,Outback_48095,Festive Sale,36.15,2024-12-01,2026-04-28,98.54,79.6,Offer valid on select items only. Terms and conditions apply.,False
PROMO00279,Olive_33881,Weekend Offer,42.57,2024-05-01,2026-01-14,54.2,32.71,Offer valid on select items only. Terms and conditions apply.,True
PROMO00280,P.F._21873,Festive Sale,45.66,2020-03-27,2029-10-20,35.6,22.33,Offer valid on select items only. Terms and conditions apply.,False
PROMO00281,Olive_97371,Holiday Discount,25.22,2021-10-08,2026-05-25,45.97,91.74,Offer valid on select items only. Terms and conditions apply.,False
PROMO00282,The_4630,Festive Sale,47.27,2020-11-13,2027-10-05,56.45,75.57,Offer valid on select items only. Terms and conditions apply.,True
PROMO00283,Texas_53347,Festive Sale,16.3,2023-01-23,2025-03-10,86.32,67.37,Offer valid on select items only. Terms and conditions apply.,True
PROMO00284,Panera_55278,Special Deal,42.01,2022-10-28,2028-05-14,18.76,86.97,Offer valid on select items only. Terms and conditions apply.,True
PROMO00285,Chipotle_43982,Holiday Discount,18.47,2022-06-06,2028-06-07,75.89,54.78,Offer valid on select items only. Terms and conditions apply.,False
PROMO00286,P.F._74473,Special Deal,12.32,2020-09-07,2029-11-30,93.54,28.43,Offer valid on select items only. Terms and conditions apply.,True
PROMO00287,Chili's_51279,Limited Time Offer,7.39,2022-11-07,2027-05-04,23.84,19.95,Offer valid on select items only. Terms and conditions apply.,True
PROMO00288,The_10640,Festive Sale,34.78,2023-08-04,2026-05-09,89.99,88.98,Offer valid on select items only. Terms and conditions apply.,False
PROMO00289,Olive_83001,Weekend Offer,15.86,2020-02-13,2027-10-13,46.55,58.02,Offer valid on select items only. Terms and conditions apply.,True
PROMO00290,Chili's_38439,Weekend Offer,42.09,2024-06-21,2027-12-05,23.44,50.92,Offer valid on select items only. Terms and conditions apply.,False
PROMO00291,Chili's_47199,Weekend Offer,28.03,2022-09-03,2027-08-06,77.72,16.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00292,Olive_12481,Festive Sale,7.05,2022-11-24,2029-08-06,69.96,50.5,Offer valid on select items only. Terms and conditions apply.,True
PROMO00293,The_12580,Limited Time Offer,37.88,2022-03-10,2027-07-16,69.98,96.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00294,Chili's_17709,Holiday Discount,10.13,2021-05-25,2030-01-01,42.33,12.93,Offer valid on select items only. Terms and conditions apply.,False
PROMO00295,Olive_87641,Holiday Discount,7.48,2023-03-11,2026-11-25,55.86,79.7,Offer valid on select items only. Terms and conditions apply.,False
PROMO00296,Outback_56125,Festive Sale,34.91,2022-04-05,2026-09-14,24.12,57.41,Offer valid on select items only. Terms and conditions apply.,True
PROMO00297,Buffalo_34404,Holiday Discount,5.51,2020-02-18,2025-11-24,16.45,57.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00298,Panera_21518,Festive Sale,34.05,2020-02-07,2028-09-12,22.1,10.54,Offer valid on select items only. Terms and conditions apply.,False
PROMO00299,Outback_37285,Festive Sale,37.07,2020-06-12,2026-04-17,79.67,71.01,Offer valid on select items only. Terms and conditions apply.,False
PROMO00300,Chipotle_98112,Holiday Discount,46.36,2020-12-08,2025-05-29,33.66,30.38,Offer valid on select items only. Terms and conditions apply.,True
PROMO00301,Texas_98687,Limited Time Offer,23.68,2020-08-12,2028-11-26,23.18,33.51,Offer valid on select items only. Terms and conditions apply.,False
PROMO00302,Texas_17917,Festive Sale,8.3,2020-05-04,2028-12-19,48.29,70.28,Offer valid on select items only. Terms and conditions apply.,True
PROMO00303,Panera_98758,Special Deal,34.23,2024-02-19,2029-11-13,46.98,64.03,Offer valid on select items only. Terms and conditions apply.,False
PROMO00304,P.F._62893,Limited Time Offer,17.01,2020-08-21,2029-03-21,80.97,52.35,Offer valid on select items only. Terms and conditions apply.,False
PROMO00305,Buffalo_9604,Festive Sale,6.56,2024-06-19,2028-06-11,28.13,61.8,Offer valid on select items only. Terms and conditions apply.,False
PROMO00306,The_43850,Holiday Discount,20.37,2023-10-31,2028-05-18,49.8,91.09,Offer valid on select items only. Terms and conditions apply.,True
PROMO00307,Olive_57611,Limited Time Offer,15.08,2020-09-13,2028-05-17,31.06,29.8,Offer valid on select items only. Terms and conditions apply.,False
PROMO00308,The_52320,Holiday Discount,21.24,2022-11-12,2025-02-21,61.4,70.61,Offer valid on select items only. Terms and conditions apply.,True
PROMO00309,Olive_81311,Weekend Offer,42.0,2021-08-09,2028-03-28,43.2,14.96,Offer valid on select items only. Terms and conditions apply.,False
PROMO00310,Panera_94208,Holiday Discount,36.81,2022-01-09,2026-12-29,51.89,76.88,Offer valid on select items only. Terms and conditions apply.,False
PROMO00311,Olive_71341,Special Deal,24.71,2022-01-08,2026-06-20,28.56,75.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00312,Panera_33118,Holiday Discount,12.73,2021-06-27,2026-12-10,16.49,55.25,Offer valid on select items only. Terms and conditions apply.,False
PROMO00313,Panera_18508,Limited Time Offer,34.94,2020-04-03,2029-08-13,87.65,76.76,Offer valid on select items only. Terms and conditions apply.,False
PROMO00314,P.F._34353,Special Deal,19.01,2023-06-09,2026-04-04,63.06,30.56,Offer valid on select items only. Terms and conditions apply.,True
PROMO00315,Texas_91467,Holiday Discount,43.44,2022-02-18,2029-07-04,89.07,88.58,Offer valid on select items only. Terms and conditions apply.,True
PROMO00316,Texas_53087,Limited Time Offer,19.95,2023-04-16,2027-01-06,34.45,86.74,Offer valid on select items only. Terms and conditions apply.,True
PROMO00317,Chipotle_82112,Weekend Offer,17.0,2023-05-16,2029-01-04,35.62,79.18,Offer valid on select items only. Terms and conditions apply.,False
PROMO00318,Outback_52015,Special Deal,44.51,2024-07-09,2025-05-01,84.44,9.12,Offer valid on select items only. Terms and conditions apply.,True
PROMO00319,Red_47256,Limited Time Offer,16.18,2020-08-08,2029-04-18,52.43,32.99,Offer valid on select items only. Terms and conditions apply.,False
PROMO00320,Outback_14535,Limited Time Offer,7.82,2020-01-01,2027-12-05,50.59,88.47,Offer valid on select items only. Terms and conditions apply.,True
PROMO00321,Texas_86777,Weekend Offer,12.33,2022-08-21,2028-08-25,41.46,90.3,Offer valid on select items only. Terms and conditions apply.,False
PROMO00322,Red_76546,Limited Time Offer,38.32,2021-01-27,2028-11-22,65.8,79.8,Offer valid on select items only. Terms and conditions apply.,True
PROMO00323,Texas_60567,Holiday Discount,12.47,2023-02-06,2025-10-18,85.05,64.74,Offer valid on select items only. Terms and conditions apply.,False
PROMO00324,Outback_38325,Weekend Offer,22.72,2020-02-28,2026-08-03,89.49,18.89,Offer valid on select items only. Terms and conditions apply.,False
PROMO00325,Texas_66647,Festive Sale,39.36,2024-05-02,2028-11-12,54.3,42.43,Offer valid on select items only. Terms and conditions apply.,False
PROMO00326,P.F._88463,Holiday Discount,27.56,2024-11-13,2029-05-10,81.32,67.83,Offer valid on select items only. Terms and conditions apply.,True
PROMO00327,P.F._84573,Special Deal,33.98,2022-06-29,2027-08-06,80.85,77.33,Offer valid on select items only. Terms and conditions apply.,True
PROMO00328,Outback_61735,Weekend Offer,5.15,2021-05-19,2028-06-21,88.99,43.5,Offer valid on select items only. Terms and conditions apply.,False
PROMO00329,Chipotle_53042,Festive Sale,23.85,2020-12-29,2029-01-31,73.66,47.47,Offer valid on select items only. Terms and conditions apply.,True
PROMO00330,Chipotle_97462,Limited Time Offer,6.38,2020-10-17,2027-08-20,99.05,10.57,Offer valid on select items only. Terms and conditions apply.,False
PROMO00331,Panera_6828,Special Deal,23.08,2022-04-09,2029-11-28,32.76,60.96,Offer valid on select items only. Terms and conditions apply.,False
PROMO00332,The_12470,Festive Sale,15.5,2024-03-09,2028-08-16,32.63,12.93,Offer valid on select items only. Terms and conditions apply.,False
PROMO00333,Chipotle_51762,Festive Sale,47.98,2023-04-13,2025-12-05,42.18,94.78,Offer valid on select items only. Terms and conditions apply.,False
PROMO00334,Panera_25308,Limited Time Offer,19.25,2021-08-29,2028-12-13,77.99,62.4,Offer valid on select items only. Terms and conditions apply.,True
PROMO00335,P.F._21183,Festive Sale,38.54,2021-12-13,2027-08-17,26.9,90.88,Offer valid on select items only. Terms and conditions apply.,True
PROMO00336,P.F._69153,Special Deal,17.28,2024-11-02,2027-09-24,70.09,6.82,Offer valid on select items only. Terms and conditions apply.,True
PROMO00337,Panera_47938,Limited Time Offer,11.18,2023-09-23,2028-12-17,50.49,56.41,Offer valid on select items only. Terms and conditions apply.,True
PROMO00338,Chili's_72269,Holiday Discount,28.69,2022-03-08,2028-03-15,97.33,72.84,Offer valid on select items only. Terms and conditions apply.,False
PROMO00339,Buffalo_81564,Holiday Discount,33.83,2024-09-21,2026-12-07,93.34,5.96,Offer valid on select items only. Terms and conditions apply.,False
PROMO00340,Texas_78007,Holiday Discount,41.08,2021-08-10,2029-05-12,17.55,13.87,Offer valid on select items only. Terms and conditions apply.,True
PROMO00341,P.F._33803,Festive Sale,10.43,2020-02-03,2025-08-24,42.52,19.82,Offer valid on select items only. Terms and conditions apply.,False
PROMO00342,Panera_8078,Weekend Offer,34.38,2024-07-21,2028-10-18,19.94,19.52,Offer valid on select items only. Terms and conditions apply.,True
PROMO00343,The_17680,Limited Time Offer,46.27,2022-05-08,2028-03-04,16.45,13.27,Offer valid on select items only. Terms and conditions apply.,True
PROMO00344,Chili's_70039,Weekend Offer,36.73,2023-08-06,2026-03-20,41.53,9.16,Offer valid on select items only. Terms and conditions apply.,False
PROMO00345,P.F._51513,Special Deal,24.39,2022-07-08,2026-10-11,64.29,54.86,Offer valid on select items only. Terms and conditions apply.,False
PROMO00346,The_16580,Holiday Discount,13.08,2020-09-09,2027-04-17,37.23,65.77,Offer valid on select items only. Terms and conditions apply.,False
PROMO00347,Olive_69191,Holiday Discount,9.72,2023-09-04,2026-12-20,12.85,98.62,Offer valid on select items only. Terms and conditions apply.,True
PROMO00348,Chipotle_69622,Festive Sale,11.38,2023-06-01,2029-04-10,68.82,80.07,Offer valid on select items only. Terms and conditions apply.,True
PROMO00349,Panera_25428,Limited Time Offer,43.57,2021-04-06,2026-03-03,36.28,40.69,Offer valid on select items only. Terms and conditions apply.,False
PROMO00350,Panera_31358,Limited Time Offer,8.5,2024-01-25,2027-08-12,33.17,43.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00351,Chipotle_6922,Limited Time Offer,27.94,2022-10-10,2029-07-13,49.82,59.93,Offer valid on select items only. Terms and conditions apply.,False
PROMO00352,Red_52556,Festive Sale,40.06,2024-03-30,2028-07-02,10.34,89.31,Offer valid on select items only. Terms and conditions apply.,False
PROMO00353,Panera_80708,Limited Time Offer,43.12,2022-06-20,2027-11-29,24.27,74.05,Offer valid on select items only. Terms and conditions apply.,False
PROMO00354,P.F._54243,Limited Time Offer,11.39,2020-12-09,2029-10-31,29.66,40.38,Offer valid on select items only. Terms and conditions apply.,False
PROMO00355,Outback_6015,Festive Sale,7.44,2024-08-22,2025-02-23,74.9,54.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00356,Chipotle_67412,Festive Sale,48.53,2020-05-15,2025-10-07,70.66,55.91,Offer valid on select items only. Terms and conditions apply.,True
PROMO00357,Chipotle_84992,Limited Time Offer,18.54,2023-02-06,2028-05-17,53.12,42.75,Offer valid on select items only. Terms and conditions apply.,True
PROMO00358,Texas_47267,Weekend Offer,42.88,2020-09-15,2025-10-11,24.54,5.97,Offer valid on select items only. Terms and conditions apply.,True
PROMO00359,P.F._52683,Weekend Offer,8.0,2021-08-29,2028-07-25,85.12,49.47,Offer valid on select items only. Terms and conditions apply.,False
PROMO00360,Panera_10058,Festive Sale,38.3,2023-11-01,2029-02-03,85.64,75.2,Offer valid on select items only. Terms and conditions apply.,False
PROMO00361,Chipotle_19102,Limited Time Offer,12.2,2023-04-16,2027-05-19,25.83,25.33,Offer valid on select items only. Terms and conditions apply.,True
PROMO00362,Outback_38175,Festive Sale,49.46,2024-07-29,2029-12-29,89.41,72.37,Offer valid on select items only. Terms and conditions apply.,True
PROMO00363,Chipotle_83712,Festive Sale,22.49,2022-07-27,2025-12-09,20.99,88.38,Offer valid on select items only. Terms and conditions apply.,False
PROMO00364,Buffalo_55814,Limited Time Offer,23.48,2020-05-27,2026-09-21,65.54,67.69,Offer valid on select items only. Terms and conditions apply.,False
PROMO00365,The_43570,Holiday Discount,36.3,2024-05-30,2025-07-28,61.71,95.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00366,Olive_1971,Festive Sale,9.36,2021-12-09,2028-06-14,56.6,60.99,Offer valid on select items only. Terms and conditions apply.,True
PROMO00367,Chili's_36399,Holiday Discount,27.45,2024-03-24,2025-08-07,15.68,26.41,Offer valid on select items only. Terms and conditions apply.,False
PROMO00368,Olive_23391,Weekend Offer,12.08,2021-03-01,2028-12-22,10.26,35.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00369,Chili's_68839,Holiday Discount,18.62,2023-11-07,2027-05-16,80.86,90.16,Offer valid on select items only. Terms and conditions apply.,False
PROMO00370,Red_22956,Special Deal,46.6,2020-01-22,2029-07-11,10.87,70.28,Offer valid on select items only. Terms and conditions apply.,False
PROMO00371,Texas_34987,Special Deal,38.94,2024-03-11,2026-02-01,97.66,89.22,Offer valid on select items only. Terms and conditions apply.,True
PROMO00372,Outback_98505,Holiday Discount,49.05,2023-02-14,2025-12-07,44.52,83.89,Offer valid on select items only. Terms and conditions apply.,True
PROMO00373,Olive_46051,Holiday Discount,33.37,2022-09-13,2027-11-06,66.04,63.38,Offer valid on select items only. Terms and conditions apply.,True
PROMO00374,Chipotle_73222,Festive Sale,23.76,2021-01-20,2025-04-20,30.41,29.07,Offer valid on select items only. Terms and conditions apply.,True
PROMO00375,Buffalo_63924,Special Deal,33.32,2022-09-07,2027-10-03,35.41,90.19,Offer valid on select items only. Terms and conditions apply.,False
PROMO00376,Buffalo_30074,Festive Sale,32.03,2024-01-16,2025-11-06,77.57,57.75,Offer valid on select items only. Terms and conditions apply.,False
PROMO00377,Outback_30805,Festive Sale,31.69,2021-07-23,2026-07-29,80.82,14.98,Offer valid on select items only. Terms and conditions apply.,False
PROMO00378,Red_40996,Holiday Discount,10.55,2023-09-09,2029-08-28,19.71,39.02,Offer valid on select items only. Terms and conditions apply.,True
PROMO00379,Chili's_23849,Holiday Discount,41.8,2023-11-11,2026-09-18,61.06,60.06,Offer valid on select items only. Terms and conditions apply.,True
PROMO00380,The_48210,Special Deal,8.75,2020-03-02,2029-02-13,48.11,59.23,Offer valid on select items only. Terms and conditions apply.,True
PROMO00381,Chipotle_60472,Limited Time Offer,44.09,2024-03-10,2029-04-07,14.49,44.94,Offer valid on select items only. Terms and conditions apply.,True
PROMO00382,Chili's_59499,Festive Sale,33.84,2020-07-25,2026-04-04,21.35,26.29,Offer valid on select items only. Terms and conditions apply.,False
PROMO00383,The_43740,Holiday Discount,5.5,2023-09-25,2026-08-09,45.16,42.54,Offer valid on select items only. Terms and conditions apply.,True
PROMO00384,The_30960,Limited Time Offer,31.4,2023-12-24,2027-11-23,93.34,14.71,Offer valid on select items only. Terms and conditions apply.,True
PROMO00385,Olive_69111,Festive Sale,6.73,2024-03-17,2026-08-24,91.39,72.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00386,Red_5386,Weekend Offer,28.29,2020-01-04,2027-12-28,67.6,24.41,Offer valid on select items only. Terms and conditions apply.,True
PROMO00387,Panera_99518,Limited Time Offer,36.16,2024-03-31,2026-02-16,54.87,95.78,Offer valid on select items only. Terms and conditions apply.,False
PROMO00388,The_63590,Weekend Offer,27.68,2022-07-04,2029-09-09,22.66,17.23,Offer valid on select items only. Terms and conditions apply.,False
PROMO00389,Texas_30487,Weekend Offer,41.99,2023-03-11,2027-08-16,55.02,76.83,Offer valid on select items only. Terms and conditions apply.,True
PROMO00390,Buffalo_49924,Weekend Offer,48.51,2020-08-27,2026-05-01,83.4,26.2,Offer valid on select items only. Terms and conditions apply.,True
PROMO00391,P.F._993,Limited Time Offer,38.78,2020-10-14,2029-06-20,70.15,6.33,Offer valid on select items only. Terms and conditions apply.,False
PROMO00392,The_69430,Holiday Discount,29.95,2024-02-27,2028-09-25,36.04,13.46,Offer valid on select items only. Terms and conditions apply.,False
